badWeather/blizzard,"0,365253","0,364749","0,366547","0,369589","0,364452","0,40595","0,359509","0,364468","0,365785","0,34741",,"0,3673712",
badWeather/skating,"0,662164","0,659862","0,657663","0,663909","0,654536","0,652877","0,661135","0,643605","0,655431","0,662803",,"0,6573985",
badWeather/snowFall,"0,3079","0,307816","0,281325","0,302973","0,312661","0,295818","0,282878","0,291665","0,276803","0,302793",,"0,2962632",
badWeather/wetSnow,"0,284397","0,272584","0,268222","0,326111","0,287483","0,278986","0,301447","0,256456","0,251491","0,270958",,"0,2798135",
,,,,,,,,,,,,,"0,4002116"
,,,,,,,,,,,,,
baseline/highway,"0,650798","0,648744","0,647194","0,652839","0,646324","0,644663","0,653832","0,652482","0,648447","0,646434",,"0,6491757",
baseline/office,"0,681595","0,668751","0,679578","0,671212","0,679415","0,662659","0,677385","0,674713","0,675223","0,67495",,"0,6745481",
baseline/pedestrians,"0,625806","0,638522","0,621264","0,657655","0,625113","0,640016","0,625683","0,644124","0,631159","0,636272",,"0,6345614",
baseline/PETS2006,"0,498823","0,501342","0,503301","0,498863","0,495784","0,50668","0,507528","0,505469","0,483585","0,506344",,"0,5007719",
,,,,,,,,,,,,,"0,614764275"
,,,,,,,,,,,,,
cameraJitter/badminton,"0,593448","0,598744","0,588419","0,603964","0,5929","0,570034","0,594012","0,590811","0,59579","0,574729",,"0,5902851",
cameraJitter/boulevard,"0,452319","0,479789","0,470985","0,455771","0,457623","0,471081","0,463942","0,472937","0,472022","0,464746",,"0,4661215",
cameraJitter/sidewalk,"0,271251","0,234994","0,271938","0,273522","0,270113","0,281984","0,293173","0,267289","0,276386","0,267595",,"0,2708245",
cameraJitter/traffic,"0,549856","0,560522","0,543529","0,562903","0,560252","0,5588","0,555793","0,5488","0,552493","0,558918",,"0,5551866",
,,,,,,,,,,,,,"0,470604425"
,,,,,,,,,,,,,
dynamicBackground/boats,"0,072018","0,071932","0,072441","0,075525","0,065502","0,074149","0,070511","0,066409","0,064209","0,062659",,"0,0695355",
dynamicBackground/canoe,"0,349056","0,341629","0,343651","0,337757","0,344131","0,332479","0,323634","0,342157","0,326908","0,331435",,"0,3372837",
dynamicBackground/fall,"0,144684","0,150852","0,147014","0,151219","0,141284","0,148344","0,14961","0,151194","0,149587","0,150283",,"0,1484071",
dynamicBackground/fountain01,"0,024741","0,024761","0,024951","0,027701","0,029818","0,023864","0,026259","0,029434","0,025647","0,023346",,"0,0260522",
dynamicBackground/fountain02,"0,073962","0,06312","0,07437","0,076708","0,084637","0,078493","0,080947","0,08056","0,080823","0,076728",,"0,0770348",
dynamicBackground/overpass,"0,328001","0,31383","0,317696","0,364201","0,322684","0,314348","0,33103","0,323225","0,305289","0,299269",,"0,3219573",
,,,,,,,,,,,,,"0,163378433333333"
,,,,,,,,,,,,,
nightVideos/bridgeEntry,"0,145839","0,140747","0,140776","0,153138","0,130476","0,128535","0,158711","0,161923","0,139086","0,117835",,"0,1417066",
nightVideos/busyBoulvard,"0,34894","0,320578","0,347005","0,325047","0,322239","0,331429","0,306188","0,314422","0,292333","0,35777",,"0,3265951",
nightVideos/fluidHighway,"0,286821","0,30499","0,271932","0,279145","0,285292","0,284448","0,294321","0,293945","0,287141","0,283937",,"0,2871972",
nightVideos/streetCornerAtNight,"0,526799","0,526323","0,524148","0,520226","0,526865","0,525875","0,513651","0,532821","0,527633","0,534053",,"0,5258394",
nightVideos/tramStation,"0,369991","0,381472","0,403681","0,37595","0,397066","0,389957","0,370178","0,378378","0,389812","0,392561",,"0,3849046",
nightVideos/winterStreet,"0,369569","0,381754","0,389527","0,371967","0,389565","0,390339","0,396487","0,401423","0,393806","0,393479",,"0,3877916",
,,,,,,,,,,,,,"0,342339083333333"
,,,,,,,,,,,,,
shadow/backdoor,"0,438533","0,445489","0,407169","0,447702","0,398273","0,445503","0,459603","0,433155","0,411304","0,391232",,"0,4277963",
shadow/bungalows,"0,462164","0,470108","0,468137","0,455275","0,450458","0,459994","0,468851","0,460849","0,475726","0,460141",,"0,4631703",
shadow/busStation,"0,652462","0,65285","0,660442","0,653131","0,644344","0,654377","0,645404","0,647868","0,64643","0,643324",,"0,6500632",
